Category,Task,Compleixty Order,question,context,Rating System
Creative Writing and Content Generation,Basic Generation,0,Write a few sentences about the nature of planets in our solar systems,None,likert
Creative Writing and Content Generation,Basic Rephrasing,1,"Rephrase the sentence ""The sky is blue, and the meadows are bright yellow"" in five different ways.",None,likert
Creative Writing and Content Generation,Simple Storytelling,2,Write a short story about a robot who wants to be a chef.,None,likert
Creative Writing and Content Generation,Form-Based Creation,3,Write a limerick about a lazy lion.,None,likert
Creative Writing and Content Generation,Creative Writing,4,Write a poem about the beauty of nature.,None,likert
Creative Writing and Content Generation,Worldbuilding,5,Create a magical creature and its habitat.,None,likert
Creative Writing and Content Generation,Scriptwriting,6,Write a dialogue between a detective and a suspect.,None,likert
Creative Writing and Content Generation,Complex Storytelling,7,Write a short story with a surprise ending about a time traveler.,None,likert
Creative Writing and Content Generation,Content Strategy,8,Create a social media campaign to promote a new sustainable fashion brand.,None,likert
Creative Writing and Content Generation,Creative Problem Solving,9,Develop a new product idea to solve the problem of food waste.,None,likert
Task and Problem Solving,Basic Information Retrieval,0,What is the population of Tokyo?,"Tokyo, Japan's vibrant capital, is renowned for being one of the most densely populated cities in the world. The city's vast metropolitan area includes 23 special wards, home to approximately 9.7 million residents. Beyond these central wards, Tokyo Metropolis also encompasses western suburban areas and rural regions. The suburban areas, including cities like Hachioji and Machida, add about 4 million more residents. Additionally, the rural and island areas, while less densely populated, contribute another 200,000 people to the total. <br> With a total population surpassing that of many countries, Tokyo's dynamic urban and suburban landscape reflects its status as a global megacity. The overall population of Tokyo Metropolis, combining the central wards, suburban areas, and rural regions, showcases the immense scale and constant activity that define life in this extraordinary city.",binary (yes/no)
Task and Problem Solving,Simple Calculations,1,Calculate the tip for a dinner.,"The main course costs $25, the appetizer costs $15, and the dessert costs $10, with a tip rate of 20%.",binary (yes/no)
Task and Problem Solving,Definition or Explanation,2,Explain the concept of compound interest.,None,likert
Task and Problem Solving,Problem Solving,3,How can I fix a clogged kitchen sink?,None,likert
Task and Problem Solving,Decision Making,4,Should I invest in stocks or real estate?,None,likert
Task and Problem Solving,Planning and Organization,5,Create a travel itinerary for a week-long trip to Paris.,"Sophia and Michael, a couple in their early 30s, are planning a week-long trip to Paris from April 10 to April 17. They have a budget of $3,000 for the entire trip. Both are art and history enthusiasts, love fine dining, and enjoy leisurely strolls through picturesque neighborhoods. They plan to visit iconic landmarks like the Eiffel Tower and the Louvre, explore charming districts like Montmartre, and savor French cuisine in local bistros. They also want to include a day trip to the Palace of Versailles. Sophia and Michael are looking for a balanced itinerary that combines sightseeing, cultural experiences, and relaxation.",likert
Task and Problem Solving,Data Analysis,6,Analyze customer reviews to identify product improvement areas.,"Sophia's team is tasked with analyzing customer reviews for the popular wireless earbuds, SoundMax Pro. They need to identify areas for product improvement based on user feedback. Here are a few reviews:",likert
Task and Problem Solving,Creative Problem Solving,7,Develop a marketing campaign for a new electric car.,None,likert
Task and Problem Solving,Complex Problem Solving,8,Create a business plan for a sustainable food delivery service.,"Jake and Emma are entrepreneurs planning to launch a sustainable food delivery service called GreenEats. They aim to differentiate their service by focusing on eco-friendly practices, such as using electric delivery bikes, biodegradable packaging, and partnering with local organic farms. <br> Their target market includes environmentally conscious consumers who value sustainability and quality. They plan to offer a variety of meal options, including vegan, vegetarian, and locally-sourced meat dishes. <br> The opportunities for GreenEats include tapping into the growing demand for sustainable products and the convenience of food delivery. However, they must navigate risks such as higher operational costs due to sustainable practices, potential supply chain disruptions from local farms, and competition from established food delivery giants. <br> Jake and Emma need to outline a comprehensive business plan that addresses these nuances, balancing sustainability with profitability while ensuring consistent, high-quality service to attract and retain customers.",likert
Task and Problem Solving,Expert Problem Solving,9,Develop a strategy to reduce plastic waste in a city.,None,likert
